Arquivo,Data,Hora,Vel_Regulamentada (Km/h),Vel_Medida (Km/h),Vel_Considerada (Km/h),Erro
214603\420447_11.jpg,18/08/2025,10H50MIN03S,20,40,,
214604\420449_11.jpg,18/08/2025,10H50MIN06S,20,40,,
214605\420451_11.jpg,18/08/2025,10H50MIN09S,20,40,,
214606\420453_11.jpg,18/08/2025,10H50MIN,20,40,,
214607\420455_11.jpg,18/08/2025,10H50MINI14S,20,40,,
214608\420457_11.jpg,18/08/2025,10H50MIN17S,20,40,,
214609\420459_11.jpg,18/08/2025,10H50MINI19S,20,40,,
214610\420461_11.jpg,18/08/2025,10H50MIN22S,20,40,,
214611\420463_11.jpg,18/08/2025,10H50MIN2,20,40,,
214612\420465_11.jpg,18/08/2025,10H50MIN28S,20,40,,
214613\420467_11.jpg,18/08/2025,10H50MIN30S,20,40,,
214614\420469_11.jpg,18/08/2025,10H50MIN33S,20,40,,
214615\420471_11.jpg,18/08/9,10H50MIN36S,20,40,,
214616\420473_11.jpg,18/08/2025,10H50MIN39S,20,40,,
214617\420475_11.jpg,18/08/2025,10H50MIN41S,20,40,,
214618\420477_11.jpg,18/08/2025,10H50MIN44S,20,40,,
214619\420479_11.jpg,18/08/2025,10H50MIN47S,20,40,,
214620\420481_11.jpg,18/08/2025,10H50MIN49S,20,40,,
214621\420483_11.jpg,18/08/2025,10H50MIN,20,40,,
214622\420485_11.jpg,18/08/2025,10H50MIN,20,40,,
214623\420487_11.jpg,18/08/2025,10H50MIN,20,40,,
214624\420489_11.jpg,18/08/2025,1,20,40,,
214625\420491_11.jpg,18/08/2025,10H5IMIN03S,20,40,,
214626\420493_11.jpg,18/08/2025,10H51MIN06S,20,40,,
214627\420495_11.jpg,18/08/2025,10H5IMIN09S,20,40,,
214628\420497_11.jpg,18/08/2025,10H5IMINI,20,40,,
214629\420499_11.jpg,18/08/2025,10H51MI,20,40,,
214630\420501_11.jpg,18/08/2025,10H5,20,40,,
214631\420503_11.jpg,18/08/2025,10H51MIN20S,20,40,,
214632\420505_11.jpg,18/08/2025,10H51IMIN22S,20,40,,
214633\420507_11.jpg,18/08/2025,10H5IMIN2,20,40,,
214634\420509_11.jpg,18/08/2025,10H51IMIN28S,20,40,,
214635\420511_11.jpg,18/08/2025,10H51MIN30S,20,40,,
214636\420513_11.jpg,18/08/2025,10H5IMIN33S,20,40,,
214637\420515_11.jpg,18/08/2025,10H5IMIN36S,20,40,,
214638\420517_11.jpg,18/08/2025,10H5IMIN39S,20,40,,
214639\420519_11.jpg,18/08/2025,10H5IMIN41S,20,40,,
214640\420521_11.jpg,18/08/2025,10H51MIN44S,20,40,,
214641\420523_11.jpg,18/08/2025,10H51MIN47S,20,40,,
214642\420525_11.jpg,18/08/2025,10H5IMIN,20,40,,
214643\420527_11.jpg,18/08/2025,10H51MIN,20,40,,
214644\420529_11.jpg,18/08/2025,10H5IMIN,20,40,,
214645\420531_11.jpg,18/08/2025,10H5IMIN,20,40,,
214646\420533_11.jpg,18/08/2025,10H52MIN01S,20,40,,
214647\420535_11.jpg,18/08/2025,10H52MIN03S,20,40,,
214648\420537_11.jpg,18/08/2025,10H52MIN06S,20,40,,
214649\420539_11.jpg,18/08/2025,10H52MIN09S,20,40,,
214650\420541_11.jpg,18/08/2025,10H52MIN1IS,20,40,,
214651\420543_11.jpg,18/08/2025,10H52MIN14S,20,40,,
214652\420545_11.jpg,18/08/2025,10H52MIN17S,20,40,,
214653\420547_11.jpg,18/08/2025,10H52MIN20S,20,40,,
214654\420549_11.jpg,18/08/2025,10H52MIN22S,20,40,,
214655\420551_11.jpg,18/08/2025,10H52MIN25S,20,40,,
214656\420553_11.jpg,18/08/2025,10H52MIN28S,20,40,,
214657\420555_11.jpg,18/08/2025,10H52MIN31S,20,40,,
214658\420557_11.jpg,18/08/2025,10H52MIN33S,20,40,,
214659\420559_11.jpg,18/08/2025,10H52MIN36S,20,40,,
214660\420561_11.jpg,18/08/2025,10H52MIN39S,20,40,,
214661\420563_11.jpg,18/08/2025,10H52MIN41S,20,40,,
214662\420565_11.jpg,18/08/2025,6681,20,40,,
214663\420567_11.jpg,18/08/2025,10H52MIN47S,20,40,,
214664\420569_11.jpg,18/08/2025,10H52MIN,20,40,,
214665\420571_11.jpg,18/08/2025,10H52MIN,20,40,,
214666\420573_11.jpg,18,10H52MIN,20,40,,
214667\420575_11.jpg,18/08/2025,10H52MIN,20,40,,
214668\420577_11.jpg,18/08/2025,10H53MIN01S,20,40,,
214669\420579_11.jpg,18/08/2025,10H53MIN03S,20,40,,
214670\420581_11.jpg,18/08/2025,10H53MIN06S,20,40,,
214671\420583_11.jpg,18/08/2025,10H53MIN09S,20,40,,
214672\420585_11.jpg,18/08/2025,10H53MIN12S,20,40,,
214673\420587_11.jpg,18/08/2025,10H53MIN14S,20,40,,
214674\420589_11.jpg,18/08/2025,10H53MIN17,20,40,,
214675\420591_11.jpg,18/08/2025,10H53MIN20S,20,40,,
214676\420593_11.jpg,18/08/2025,10H53MIN22S,20,40,,
214677\420595_11.jpg,18/08/2025,10H53MIN2,20,40,,
214678\420597_11.jpg,18/08/2025,10H53MIN28S,20,40,,
214679\420599_11.jpg,18/08/2025,10H53MIN31S,20,40,,
214680\420601_11.jpg,18/08/2025,10H53MIN33S,20,40,,
214681\420603_11.jpg,18/08/2025,10H53MIN36S,20,40,,
214682\420605_11.jpg,18/08/2025,10H53MIN39S,20,40,,
214683\420607_11.jpg,18/08/2025,10H53MIN42S,20,40,,
214684\420609_11.jpg,18/08/2025,10H53MIN44S,20,40,,
214685\420611_11.jpg,18/08/2025,10H53MIN47S,20,40,,
214686\420613_11.jpg,18/08/2025,10H53MIN,20,40,,
214687\420615_11.jpg,18/08/2025,10H53MIN,20,40,,
214688\420617_11.jpg,18/08/2025,10H53MIN,20,40,,
214689\420619_11.jpg,18/08/2025,10H53MIN,20,40,,
214690\420621_11.jpg,18/08/2025,10H54MIN01S,20,40,,
